Y_species,Y_empiric_treatments,Y_MRSA_MSSA,Y_gram_positive_negative,Y_gram_positive,Y_gram_negative
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
0,0,0,1,0,nan
